Compound Name	Avg	StDev
1,3-Dihydroxyacetone	94.279625	7.942749809803858
1,3-Dimethylurate	76.502875	10.951783531271188
2-Hydroxyisobutyrate	63.866625	6.44794814655274
2-Hydroxyisovalerate	72.67575	3.9078858200155335
2-Oxoisocaproate	56.662	12.163593572937025
3-Hydroxybutyrate	70.08737500000001	11.741462262432503
3-Phenylpropionate	81.565125	8.616917712863062
Acetate	99.455375	0.26501943444379894
Acetoacetate	82.319	9.95264186033035
Acetoin	63.005125	8.339983455307937
Acetone	75.636125	10.267089180353983
Alanine	96.463875	2.5616398494625345
Arabinose	82.9955	8.016659378752266
Arginine	83.862375	4.8020573765281425
Aspartate	94.60825	5.411477435781719
Betaine	78.3915	10.204580765891118
Butyrate	93.063625	7.646827627780513
Cadaverine	80.594625	5.17146257591125
Caprate	76.4595	5.59462397917451
Choline	79.917375	9.164045005905045
Dimethylamine	74.781875	10.286679366503094
Ethanol	68.848125	13.604360999768614
Formate	98.215	2.004260651585434
Fucose	81.280375	6.550060671039909
Fumarate	98.85075	1.317183199968205
Galactose	87.551625	6.9504680552254055
Glucose	96.685625	4.0638700902907186
Glutamate	84.98625	5.332546681832615
Glutamine	64.977875	7.812829710510978
Glycerol	74.372375	13.474088705358646
Glycine	88.34125	11.52261413015315
Isobutyrate	67.9425	11.894074846565251
Isoleucine	91.656375	5.351536924336003
Isopropanol	56.48375	10.547534762064643
Isovalerate	83.190125	8.699067677929047
L-Malic acid	87.783875	8.736571104713878
Lactate	77.995875	7.573158579499914
Lactose	82.349875	6.0678364533566285
Lactulose	80.32075	5.140893084752954
Leucine	90.0565	2.886809416569604
Lysine	79.620625	5.492262991608043
Malonate	78.080375	13.590097515857137
Mannose	82.410125	6.648529578320116
Methanol	99.491875	0.3454847768175293
Methionine	84.048	5.301366530302125
Methylamine	86.2	9.916225292450395
Methylsuccinate	81.74925	12.510583749749397
N-Acetylaspartate	81.877375	10.795754409735173
N-Acetylglutamate	84.94975	5.008045672285368
N-Methylhydantoin	76.056875	12.15313072065347
N,N-Dimethylglycine	82.1855	11.839545396250372
Nicotinate	95.366125	4.569790315592283
Oxalacetic acid	85.7095	12.666480224033146
Phenylacetate	93.554375	5.0337589054656195
Phenylalanine	95.4455	4.007151802667358
Propionate	94.733	3.9085179294795735
Pyruvate	79.16	15.687424456422075
Ribose	96.73325	2.6660598980043257
Serine	72.338375	6.344730185233862
Succinate	95.35625	7.483596978337168
Threonine	91.572875	4.973294044701488
Trimethylamine	75.075625	13.38514449960539
Tyrosine	94.322375	3.497471145636082
Uracil	85.531	10.284975105044852
Urocanate	85.4235	11.84687600759122
Valerate	62.137368421052635	9.961187930285028
Valine	96.322625	2.9767150119986687
Xanthine	82.44775	10.104045307810058
Xylose	85.725	10.259333385702373
