Feature_Name	Colour	Sub_Color	Avg	StDev	F_Type	HMDB_SuperClass	HMDB_Class	HMDB_SubClass	HMDB_DirectParent	Notes	Link_HMDB	Link_PubmedChem
Ethanol	#9CE1F9	#92D2E8	68.848125	13.604360999768614	Alcohol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols	NA	https://hmdb.ca/metabolites/HMDB0000108	https://pubchem.ncbi.nlm.nih.gov/compound/702
Isopropanol	#9CE1F9	#9CE1F9	56.48375	10.547534762064641	Alcohol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	NA	https://hmdb.ca/metabolites/HMDB0000863	https://pubchem.ncbi.nlm.nih.gov/compound/3776
Methanol	#9CE1F9	#A2E3FE	99.491875	0.3454847768175292	Alcohol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Primary alcohols	NA	https://hmdb.ca/metabolites/HMDB0001875	https://pubchem.ncbi.nlm.nih.gov/compound/887
Cadaverine	#E17F79	#CB726D	80.594625	5.17146257591125	Amines	Organic nitrogen compounds	Organonitrogen compounds	Amines	Monoalkylamines	NA	https://hmdb.ca/metabolites/HMDB0002322	https://pubchem.ncbi.nlm.nih.gov/compound/273
Dimethylamine	#E17F79	#D27771	74.781875	10.286679366503094	Amines	Organic nitrogen compounds	Organonitrogen compounds	Amines	Dialkylamines	NA	https://hmdb.ca/metabolites/HMDB0000087	https://pubchem.ncbi.nlm.nih.gov/compound/674
Methylamine	#E17F79	#DA7B75	86.2	9.916225292450394	Amines	Organic nitrogen compounds	Organonitrogen compounds	Amines	Monoalkylamines	methylamine	https://hmdb.ca/metabolites/HMDB0000164	https://pubchem.ncbi.nlm.nih.gov/compound/6329
Trimethylamine	#E17F79	#EA8A83	75.075625	13.385144499605392	Amines	Organic nitrogen compounds	Organonitrogen compounds	Amines	Trialkylamines	Tertiaty amine	https://hmdb.ca/metabolites/HMDB0000906	https://pubchem.ncbi.nlm.nih.gov/compound/1146
Alanine	#5AB45A	#448744	96.463875	2.5616398494625336	Amino acids (essential)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alanine and derivatives	NA	https://hmdb.ca/metabolites/HMDB0001310	https://pubchem.ncbi.nlm.nih.gov/compound/5950
Isoleucine	#5AB45A	#4F9E4F	91.656375	5.351536924336003	Amino acids (essential)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Isoleucine and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000172	https://pubchem.ncbi.nlm.nih.gov/compound/6306
Leucine	#5AB45A	#54A954	90.0565	2.886809416569604	Amino acids (essential)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Leucine and derivatives	NA	https://hmdb.ca/metabolites/HMDB0000687	https://pubchem.ncbi.nlm.nih.gov/compound/6106
