Sample_ID	1,3-Dihydroxyacetone	1,3-Dimethylurate	2-Hydroxyisobutyrate	2-Hydroxyisovalerate	2-Oxoisocaproate	3-Hydroxybutyrate	3-Phenylpropionate	Acetate	Acetoacetate	Acetoin	Acetone	Alanine	Arabinose	Arginine	Aspartate	Betaine	Butyrate	Cadaverine	Caprate	Choline	Dimethylamine	Ethanol	Formate	Fucose	Fumarate	Galactose	Glucose	Glutamate	Glutamine	Glycerol	Glycine	Isobutyrate	Isoleucine	Isopropanol	Isovalerate	L-Malic acid	Lactate	Lactose	Lactulose	Leucine	Lysine	Malonate	Mannose	Methanol	Methionine	Methylamine	Methylsuccinate	N-Acetylaspartate	N-Acetylglutamate	N-Methylhydantoin	N,N-Dimethylglycine	Nicotinate	Oxalacetic acid	Phenylacetate	Phenylalanine	Propionate	Pyruvate	Ribose	Serine	Succinate	Threonine	Trimethylamine	Tyrosine	Uracil	Urocanate	Valerate	Valine	Xanthine	Xylose
A02_00	0.0528	0.0113	0.0386	0.1219	0.0246	0.0377	0.1121	45.2028	0.0764	0.0792	0.064	1.1837	0.0478	0.0169	0.67490000000000006	0.0059	6.2062	0.0238	0.0639	0.3325	0.0291	0.577	0.1026	0.1051	0.1108	0.1322	3.6256	3.8933	0.2899	0.3676	0.4603	1.116	0.5261	0.2222	0.9553	0.8941	0.0408	0.0038	0.0558	0.5384	0.4142	0.1194	0.3409	0.8976	0.2448	0.1116	0.0959	0.1287	0.2182	0.0039	0.006	0.0905	1.2728	0.352	0.2076	7.8461	0.0308	0.2102	0.6443	0.3641	0.5982	0.0201	0.2322	0.1404	0.0261	1.7005	0.7082	0.1077	0.1115
A11_00	0.0381	0.0046	0.0861	0.5629	0.0358	0.4613	0.1736	45.3011	0.1775	0.098	0.2089	2.6588	0.0988	0.02	1.9089	0.0012	7.3611	0.0986	0.0639	0.025	0.0501	0.6838	0.1183	0.0229	0.071	0.5442	1.0936	4.5455	0.2853	1.4983	0.9888	1.4973	0.9917	0.1995	1.5389	0.532	0.0976	0.0692	0.0141	1.0756	1.02	0.3125	0.0245	1.3392	0.5762	0.2265	0.0346	0.4429	0.4059	0.0082	0.0142	0.0495	1.3647	0.6416	0.5114	11.3653	0.0452	0.7665	1.5386	0.207	1.2896	0.0105	0.4123	0.0957	0.1019	2.3069	1.361	0.0515	0.1115
A07_00	0.0679	0.0119	0.0328	0.1715	0.0143	0.0454	0.1048	45.1618	0.0824	0.0408	0.0746	1.1774	0.1126	0.0579	1.1214	0.001	9.6089	0.0854	0.0639	0.0438	0.0123	0.5948	0.0576	0.0444	0.0382	0.1126	0.4671	3.3823	0.1841	2.5221	0.5504	1.0923	0.4361	0.0911	0.6395	0.1295	0.0374	0.0781	0.0153	0.5268	0.7154	0.0571	0.0245	1.2804	0.2564	0.0837	0.0201	0.0923	0.1464	0.0066	0.0095	0.1533	0.1741	0.4867	0.2917	10.8457	0.0304	0.388	1.1678	0.0921	0.4814	0.0128	0.3195	0.0783	0.0514	1.9466	0.6033	0.045	0.4325
A08_00	0.0348	0.0994	0.1709	0.3546	0.1251	0.162	0.2783	46.4734	0.2214	0.1016	0.2455	3.7148	0.0415	0.02	3.0702	0.0019	11.7293	0.1864	0.0639	0.0449	0.0579	1.5251	0.289	0.0229	0.1148	0.1322	0.6412	5.2375	0.7652	6.5405	1.8321	1.8685	1.6852	0.4141	2.4378	0.6879	0.0783	0.004	0.0518	1.8842	0.201	0.567	0.1215	1.8771	0.7348	0.1917	0.9971	0.2091	0.4463	0.0303	0.04	0.0091	2.6007	1.1104	0.6649	13.5201	0.0628	0.9209	2.1267	0.131	2.1656	0.0283	0.5845	0.1412	0.0747	2.7748	2.3759	0.095	0.4083
A10_00	0.0348	0.0073	0.0531	0.2181	0.0213	0.4051	0.0919	44.8802	0.3103	0.0605	0.1498	1.6345	0.0346	0.0168	1.2071	5e-4	9.4056	0.0752	0.0639	0.0229	0.0363	0.4966	0.081	0.0461	0.1027	0.2363	0.579	4.4367	0.3529	0.3399	0.6069	2.619	0.6673	0.119	2.3054	1.0793	0.0257	0.0099	0.0078	0.7274	0.3703	0.6139	0.0245	0.7998	0.388	0.0781	0.4175	0.0875	0.253	0.0118	0.0249	0.0723	1.4536	1.0733	0.3072	10.6316	0.0605	0.9878	0.8304	0.2455	0.7014	0.011	0.2296	0.0781	0.063	2.9109	0.9233	0.071	0.0924
A04_00	0.0614	0.0204	0.0243	0.1454	0.0192	0.0369	0.2855	44.5226	0.0067	0.0333	0.0495	1.3855	0.1126	0.0325	0.8973	0.0249	7.8629	0.072	0.0081	0.0162	0.006	0.3218	0.0405	0.0229	0.0869	0.2072	1.5728	3.0083	0.3723	0.3235	0.7287	0.7533	0.611	0.0382	0.3916	0.7169	0.011	0.0063	0.01	0.6452	0.8797	0.1287	0.0245	0.9328	0.2887	0.2354	0.0441	0.0155	0.1015	0.0049	0.0068	0.1262	0.1156	0.253	0.314	11.206	0.0331	0.6361	0.6839	0.3166	0.642	0.0035	0.3208	0.0926	0.0941	1.7889	0.7931	0.0799	0.1115
A05_00	0.10780000000000001	0.0248	0.0685	0.3267	0.1212	0.2075	0.0822	44.8802	0.2655	0.1942	0.1213	3.3134	0.0416	0.02	2.3446	0.0097	4.8463	0.1941	0.0639	0.0287	0.0134	0.3501	0.1815	0.0229	0.2445	0.2758	1.0543	6.2705	0.5406	3.2435	1.8893	1.7388	1.467	0.0867	1.4315	1.0205	0.1434	0.0188	0.1536	1.6106	0.9441	0.442	0.1679	0.9645	0.5719	0.1683	0.3663	0.2484	0.3141	0.0199	0.0564	0.0776	0.6225	0.6522	0.5593	8.4805	0.0422	1.3456	2.1497	0.3086	1.6965	0.0165	0.5442	0.2121	0.1256	0.8747	2.0335	0.1398	0.5112
A08_07	0.0742	0.0273	0.0577	0.1837	0.0523	0.1491	0.2577	44.8802	0.1949	0.10780000000000001	0.1156	2.1604	0.1874	0.02	1.4018	6e-4	7.6021	0.1864	0.0639	0.0219	0.0311	1.2118	0.1212	0.0229	0.1208	0.2096	0.9169	3.5728	0.4711	3.9534	1.0372	1.2956	0.9605	0.2025	1.1524	0.9347	0.1186	0.0859	0.0141	1.037	0.3947	0.2051	0.0453	1.0528	0.4995	0.1496	0.2856	0.1399	0.2182	0.0041	0.0103	0.072	1.3317	0.5919	0.478	8.2895	0.0326	0.8272	1.1464	0.1788	1.0059	0.0066	0.4393	0.1874	0.1054	2.1007	1.3286	0.1246	0.4556
A02_07	0.0736	0.0076	0.0617	0.2463	0.0261	0.0497	0.1565	45.3665	0.076	0.0674	0.0929	1.9588	0.0478	0.0511	0.9213	0.0045	6.5884	0.4072	0.0639	0.0647	0.048	0.3903	0.1362	0.015	0.1871	0.1083	0.8712	5.0872	0.4822	0.905	0.7746	2.0478	0.8749	0.2653	1.3285	0.8459	0.2307	0.014	0.0181	0.9896	0.2733	0.1938	0.0212	0.8481	0.4272	0.1342	0.1136	0.0914	0.3552	0.0041	0.0051	0.1604	0.0973	0.5908	0.398	8.0958	0.0863	0.7758	0.8458	0.3951	0.6593	0.0177	0.4481	0.3118	0.0552	2.0025	1.1413	0.2351	0.0408
A05_07	0.1103	0.0033	0.0319	0.1932	0.0481	0.1613	0.1321	44.4654	0.1388	0.0998	0.1042	1.8646	0.2797	0.02	1.1796	0.0097	9.7358	0.0707	0.0639	0.0287	0.0071	0.4361	0.0592	0.0229	0.1987	0.1745	2.9653	2.9086	0.3641	4.2642	0.688	0.7447	0.7407	0.0707	0.5485	0.6255	0.0764	0.0984	0.0848	0.8341	0.7434	0.5239	0.1169	0.9247	0.3311	0.1436	0.132	0.1187	0.1232	0.0133	0.0147	0.1126	0.9752	0.2117	0.3661	7.1937	0.0104	0.9938	0.9139	0.1873	0.9194	0.0031	0.3663	0.1818	0.1074	0.4953	0.9909	0.1249	0.6402
