Metabolite	Average	St_Dev	Median	Interq. Range	Class
Acetate	0.46710275218944464	0.05596841484591152	0.4632397081498246	0.06890580402319268	SCFA
Propionate	0.11693397850586792	0.031342218236082776	0.1110228503510179	0.03417217864171865	SCFA
Butyrate	0.09440454767894892	0.026769879141043063	0.09203096270399283	0.029070740225077954	SCFA
Glutamate	0.038963990255418066	0.016087733528969583	0.03797363340512637	0.01724675130741642	Amino acids (non-essential)
Valerate	0.020235914643177234	0.006714226435979243	0.020922523921434073	0.006209981137514656	SCFA
Alanine	0.019808994819377233	0.007419701027567662	0.01925587576311683	0.007739913787343058	Amino acids (essential)
Glycerol	0.016057251463529647	0.014699269490075119	0.011327764021526934	0.016297328352249722	Sugar alcohol
Glucose	0.015661030972166395	0.010645347553896902	0.012051220441086499	0.015250043165484298	Saccharide
Isobutyrate	0.01473117657540144	0.00607215005062532	0.014200844181700057	0.008905746518718803	SCFA
Aspartate	0.012793642408391306	0.007258969386467132	0.011248947338595371	0.0054217146741233554	Amino acids (non-essential)
Isovalerate	0.012232791881340006	0.006419324633209175	0.011729949969891379	0.009506187173699152	SCFA
Valine	0.011543946950477505	0.005127528478028908	0.011000780315528723	0.004903549121638647	Amino acids (essential)
Serine	0.010976448534353806	0.004749955050337167	0.009862298644605284	0.005989277068186454	Amino acids (non-essential)
Methanol	0.010220449081359774	0.003303312632059886	0.009814789046856471	0.004058187028634952	Alcohol
Oxalacetic acid	0.009466669686287291	0.007370484593339093	0.009460238083165292	0.012591285086999401	Ketones
Leucine	0.009119753391777312	0.004052476356946793	0.008969459082594975	0.004549151752382726	Amino acids (essential)
Threonine	0.009094200751744639	0.004432158201452298	0.008080524321322138	0.004192740790469091	Amino acids (essential)
Glycine	0.008522885384608134	0.004063790796958389	0.008038489133227843	0.0037752792044439196	Amino acids (non-essential)
Isoleucine	0.008424188532365935	0.0032991362270968633	0.00826396880856637	0.003643853516669574	Amino acids (essential)
Ribose	0.007734795509164657	0.0037212735038761715	0.007371767271637985	0.0042920729401944874	Saccharide
L-Malic acid	0.007243268547056263	0.00446432232481937	0.006897363092662375	0.0066706839488593645	Hydroxy acids
Ethanol	0.00662661288296109	0.004047075337889469	0.004913508533889249	0.004623200497716399	Alcohol
Lysine	0.005742915494867936	0.002980242228065993	0.005584519967963418	0.0037739091237423126	Amino acids (essential)
Phenylacetate	0.0056968461116962375	0.003130902391634924	0.005686633909770929	0.004213641850475329	Carboxylic acids
Glutamine	0.004534116471182774	0.0020646413386217178	0.0043333532987130975	0.0015833724824092519	Amino acids (non-essential)
Methionine	0.0041804060831700214	0.001437587553609972	0.0041959180484004484	0.0014318661307042395	Amino acids (essential)
Tyrosine	0.004022336986867917	0.0011889854477830561	0.00397575204928314	0.0016282656755744929	Amino acids (non-essential)
Phenylalanine	0.003877436046403076	0.0012589178731357421	0.0038392904008206514	0.0016769424023368685	Amino acids derivative
Malonate	0.0028633230726531535	0.0022362417247260725	0.002173279415306209	0.0032874986871075144	Carboxylic acids
Xylose	0.002632904031793071	0.002195360408650617	0.0015949312744848437	0.002903330121461741	Saccharide
2-Hydroxyisovalerate	0.0025416490864203782	0.0017763104998275473	0.002162653238659337	0.0013643651683490471	Carboxylic acids
N-Acetylglutamate	0.002153896038029052	0.0013026136776943288	0.00195292565761536	0.0016434250819165213	Amino acids derivative
Succinate	0.002128820028757575	0.0012682803880423072	0.001967662429450556	0.0013135216725088234	Carboxylic acids
3-Phenylpropionate	0.001862199824684303	0.0011052320458320643	0.0015581339006016611	0.0015544244378951206	Carboxylic acids
Galactose	0.0018475871852522813	0.0011212369893722264	0.0015181506181014758	0.0012188691718920284	Saccharide
Methylsuccinate	0.0016437972073274115	0.0016269069134326479	0.0010723262436476205	0.0017447019104030737	Carboxylic acids
3-Hydroxybutyrate	0.001559148545677978	0.0020457501484898526	7.843966900130436e-4	0.001027113337605998	Hydroxy acids
Uracil	0.0015471253523388964	6.685982481258628e-4	0.0013861900830728986	8.475516696852408e-4	Organoheterocyclic compounds
Cadaverine	0.0015284402877956086	9.292113190969895e-4	0.0013939137239574434	0.0012924660067386063	Amines
