Feature	F_Type	Colour	Average	Median	IQR
Ethanol	Alcohol	#9CE1F9	0.34704862888705784	0.2878824000859163	0.2928971378322011
Isopropanol	Alcohol	#9CE1F9	0.2999185099003098	0.28233152967718544	0.161592214186517
Methanol	Alcohol	#9CE1F9	0.23464269086704026	0.20036693396577515	0.17994658392462506
Cadaverine	Amines	#E17F79	0.39286898370192574	0.3976390519058645	0.2704432733045192
Dimethylamine	Amines	#E17F79	0.44884683208810705	0.40250676973716965	0.20874857714476042
Methylamine	Amines	#E17F79	0.3910417011984879	0.36718609405203473	0.19302803921552586
Trimethylamine	Amines	#E17F79	0.4939206766068637	0.45842374161269095	0.23949782635477784
Alanine	Amino acids (essential)	#5AB45A	0.2830126192830636	0.27525963412101295	0.14514094651525877
Isoleucine	Amino acids (essential)	#5AB45A	0.31595179211610386	0.333308064129777	0.12052872637430137
Leucine	Amino acids (essential)	#5AB45A	0.3740754387499638	0.3410083713665675	0.22841091179716214
Lysine	Amino acids (essential)	#5AB45A	0.3581383722718855	0.38815920413441696	0.13227600804375161
Methionine	Amino acids (essential)	#5AB45A	0.2906997547365283	0.2626846123682119	0.1742860491000462
Threonine	Amino acids (essential)	#5AB45A	0.32373728053433476	0.33366399957543985	0.19438440525433492
Valine	Amino acids (essential)	#5AB45A	0.3373750908252831	0.35632748139656756	0.15551316970085222
Arginine	Amino acids (non-essential)	#7DE119	0.3939395630759912	0.4201824973779117	0.41610821455663116
Aspartate	Amino acids (non-essential)	#7DE119	0.3254929116820353	0.3162153396140789	0.23516335308370473
Glutamate	Amino acids (non-essential)	#7DE119	0.3064176144954604	0.2520573148984843	0.210449246486671
Glutamine	Amino acids (non-essential)	#7DE119	0.29693035657005773	0.27641535451983285	0.22273529738581105
Glycine	Amino acids (non-essential)	#7DE119	0.3605526495078385	0.3348303500014291	0.15259553649107832
Serine	Amino acids (non-essential)	#7DE119	0.33767777900681206	0.3080004273782645	0.20640897511128256
Tyrosine	Amino acids (non-essential)	#7DE119	0.260358646384764	0.2494141039397858	0.13848728746600428
Betaine	Amino acids derivative	#BEFC35	0.7694884947547024	0.636976333375988	0.45639481913895463
N-Acetylaspartate	Amino acids derivative	#BEFC35	0.3841292536182735	0.3717573119109632	0.11823824106410313
N-Acetylglutamate	Amino acids derivative	#BEFC35	0.39880550090901157	0.38136119288006626	0.2678222548623949
N,N-Dimethylglycine	Amino acids derivative	#BEFC35	0.5921833691783521	0.5130595088009422	0.42633215993238793
Phenylalanine	Amino acids derivative	#BEFC35	0.27049756039631856	0.2509443900203526	0.11357344434837935
Phenylacetate	Carboxylic acids	#BA003B	0.34423294164365237	0.2440607223693439	0.1940526386459704
3-Phenylpropionate	Carboxylic acids	#BA003B	0.35797226484612604	0.3164213394852785	0.10869080746452225
Formate	Carboxylic acids	#BA003B	0.3700069294040852	0.35596779792631505	0.15751966392925232
Fumarate	Carboxylic acids	#BA003B	0.4139227317574443	0.43307734488038224	0.16692223507736248
Malonate	Carboxylic acids	#BA003B	0.29927962365786226	0.29426143494828516	0.09099461880467147
Succinate	Carboxylic acids	#BA003B	0.31662039554011395	0.268729266495377	0.13947590422662315
2-Hydroxyisovalerate	Carboxylic acids	#BA003B	0.4093799183585614	0.3768376008653088	0.24397302890425254
Methylsuccinate	Carboxylic acids	#BA003B	0.36292427615556805	0.3834879329871387	0.18245340325100456
Caprate	Fatty acid	#FAD246	0.27913506310401887	0.1693967212593704	0.1651950342323927
Lactate	Hydroxy acids	#FFA87C	0.5319804151846189	0.5045011712091128	0.3864551824569151
2-Hydroxyisobutyrate	Hydroxy acids	#FFA87C	0.32737081535595214	0.2877160962930246	0.19895735887481547
3-Hydroxybutyrate	Hydroxy acids	#FFA87C	0.3610736803590542	0.33560267735112237	0.16796540681097433
L-Malic acid	Hydroxy acids	#FFA87C	0.4541013020511902	0.4527731217809335	0.26913675085615385
Pyruvate	Ketones	#E6DFBF	0.6263667183987621	0.5654432770400941	0.37698883192881677
Acetoin	Ketones	#E6DFBF	0.46416015214887835	0.44512663486851817	0.14240087718110106
Acetone	Ketones	#E6DFBF	0.3405950897869828	0.346518578222203	0.13010470415208325
1,3-Dihydroxyacetone	Ketones	#E6DFBF	0.2965777144388098	0.2915694240826138	0.13970587393777606
2-Oxoisocaproate	Ketones	#E6DFBF	0.5019082002003676	0.44594703389505974	0.42332389673637433
Acetoacetate	Ketones	#E6DFBF	0.4652196457693028	0.4712856775407196	0.22313113940272372
Oxalacetic acid	Ketones	#E6DFBF	0.7763039639932482	0.8306473682290296	0.5341698539760138
N-Methylhydantoin	Organoheterocyclic compounds	#90DDD7	0.4277147573017356	0.42793752002041013	0.34949703416997147
Nicotinate	Organoheterocyclic compounds	#90DDD7	0.3181966993523063	0.2780581492168187	0.16634530578191972
Uracil	Organoheterocyclic compounds	#90DDD7	0.3237570565278465	0.31553737770336576	0.1089228492986441
Urocanate	Organoheterocyclic compounds	#90DDD7	0.3576879802374684	0.31723379048888867	0.27277051702324673
1,3-Dimethylurate	Organoheterocyclic compounds	#90DDD7	0.6510210486180611	0.5676155962643854	0.22547932032380863
Xanthine	Organoheterocyclic compounds	#90DDD7	0.44646892991947557	0.4244809544208382	0.19290142190348597
Choline	Quat. ammonium salts	#FF6144	0.3737543268918623	0.28979010788692705	0.2303241570994231
Arabinose	Saccharide	#1474D2	0.6462633886048641	0.650233397993861	0.48085575266681174
Fucose	Saccharide	#1474D2	0.4632059517657966	0.3998913017126814	0.403134384509941
Galactose	Saccharide	#1474D2	0.4109958502063631	0.4033441896659574	0.48273942590343005
Glucose	Saccharide	#1474D2	0.519140110078686	0.5354446609365631	0.41906450427760283
Lactose	Saccharide	#1474D2	0.777509034695936	0.7579070847814056	0.3200618030940028
Lactulose	Saccharide	#1474D2	0.5825470832255952	0.48867884724733	0.560121384711399
Mannose	Saccharide	#1474D2	0.5692915629662634	0.5252353191145569	0.630606714363776
Ribose	Saccharide	#1474D2	0.35666151971294935	0.33835590544693644	0.19161675723051602
Xylose	Saccharide	#1474D2	0.520156999811578	0.46493139694313323	0.351672801512964
