Feature	Class	Colour	Average	Median	IQR
Blautia	Clostridia	#32A0CA	0.2808240626432388	0.258650037619359	0.13298728588883493
Faecalibacterium	Clostridia	#32A0CA	0.3218105533907014	0.30568893706607536	0.14839870668160746
Bacteroides	Bacteroidia	#DCA32A	0.3678353561430154	0.3325901110970947	0.19542266437698252
Bifidobacterium	Actinobacteria	#2EAD4B	0.599977476386739	0.48225994183901233	0.2583584375985892
Anaerostipes	Clostridia	#32A0CA	0.4703757350500027	0.4302184625739466	0.25324909192882794
Agathobacter	Clostridia	#32A0CA	0.509185187655245	0.41286589882122643	0.2534566361576491
Prevotella 9	Bacteroidia	#DCA32A	0.6654052958405889	0.5396295097262911	1.1535996108757454
Roseburia	Clostridia	#32A0CA	0.6086069313962291	0.6237831442989417	0.29951192547831407
Subdoligranulum	Clostridia	#32A0CA	0.3640822047107609	0.3506544623217295	0.11444218716834237
Coprococcus 2	Clostridia	#32A0CA	0.6878575941119827	0.4214881505220766	0.4436825225470559
Fusicatenibacter	Clostridia	#32A0CA	0.5231721887796724	0.5553150898571668	0.47049429791276076
Eubacterium hallii group	Clostridia	#32A0CA	0.40046750554368077	0.4163035085833499	0.20768403549338682
Christensenellaceae R-7 group	Clostridia	#32A0CA	0.5080268789004823	0.3416899342211899	0.21106988247445335
Dorea	Clostridia	#32A0CA	0.33698822522242455	0.25400829770201305	0.18755189423587026
Alistipes	Bacteroidia	#DCA32A	0.38437571969917805	0.34377227749163597	0.16212197816190893
Holdemanella	Erysipelotrichia	#D25038	0.9392305869705374	0.4638123223489646	1.7729467768819365
Ruminococcus torques group	Clostridia	#32A0CA	0.45910388486578596	0.3213427554003251	0.18838939618059802
Ruminococcus 2	Clostridia	#32A0CA	0.5392497822765991	0.381718200559192	0.61567015577139
Ruminococcaceae UCG-002	Clostridia	#32A0CA	0.557013289881471	0.4563161925409555	0.4959812782732981
Lachnospiraceae NK4A136 group	Clostridia	#32A0CA	0.5584349586018886	0.4869670942354988	0.25556125314424294
Catenibacterium	Erysipelotrichia	#D25038	0.665373917426575	0.40085197874177736	1.217112041654677
Eubacterium coprostanoligenes group	Clostridia	#32A0CA	0.3611648858211919	0.2526956281578061	0.21856384677735782
Romboutsia	Clostridia	#32A0CA	0.7644616801451272	0.7243486100018032	0.5165647247527998
Ruminococcus 1	Clostridia	#32A0CA	0.5990242812693247	0.5238450830585164	0.28937119402489464
Erysipelotrichaceae UCG-003	Erysipelotrichia	#D25038	0.5941355311875224	0.49419055962918595	0.3897922579170542
Ruminococcaceae UCG-014	Clostridia	#32A0CA	0.5655326125758867	0.48879788490879617	0.3948462702418565
Dialister	Negativicutes	#ed7ed9	0.3348891903212591	0.21235760911354806	0.2184239692452971
Lachnospiraceae ND3007 group	Clostridia	#32A0CA	0.46663557782493176	0.3519028486036617	0.2036656017232612
Ruminococcaceae NK4A214 group	Clostridia	#32A0CA	0.7258144826278833	0.6788133755253971	0.32369801739769843
Clostridium sensu stricto 1	Clostridia	#32A0CA	1.0386670892269616	0.8269102085966431	0.9248589983973855
Lachnospira	Clostridia	#32A0CA	0.6070057281615187	0.6398689671511864	0.28390317129515674
Ruminococcaceae UCG-005	Clostridia	#32A0CA	0.6858803631071665	0.546899685288144	0.33326419027501225
Collinsella	Coriobacteriia	#4C7BDA	0.47760521212854434	0.4463341665621565	0.29503375736057247
Terrisporobacter	Clostridia	#32A0CA	0.8207348157516163	0.6555475517004663	1.4476027406197653
Streptococcus	Bacilli	#B53F5F	0.9354963924448377	0.8234872694827384	0.6815206530521205
Parabacteroides	Bacteroidia	#DCA32A	0.47344639789709747	0.4341112489110375	0.23827602028488276
Ruminococcus gauvreauii group	Clostridia	#32A0CA	0.6457785565640175	0.5889943177174379	0.4555458166656502
Eubacterium ruminantium group	Clostridia	#32A0CA	0.45428850270657295	0.1093565008716505	0.6931406109281503
Intestinibacter	Clostridia	#32A0CA	0.8141231765797338	0.5970701313192137	1.7786160768426869
Eubacterium xylanophilum group	Clostridia	#32A0CA	0.5540948139471724	0.5553189786960853	0.1474631615305062
CAG-56	Clostridia	#32A0CA	0.717844880375306	0.44006323122320923	0.8090606350212448
Coprococcus 3	Clostridia	#32A0CA	0.6176893422047225	0.5415392557438803	0.24880259399490268
Coprococcus 1	Clostridia	#32A0CA	0.42744007275523344	0.33578462082141636	0.24448954826251768
Eubacterium eligens group	Clostridia	#32A0CA	0.6469127063179478	0.776879935635032	0.6559682176214872
Ruminiclostridium 5	Clostridia	#32A0CA	0.911273513604792	0.9155626853459624	0.8258393319381462
Eubacterium ventriosum group	Clostridia	#32A0CA	0.848368221686548	0.6736622650673626	0.8816352999303584
Lachnospiraceae UCG-001	Clostridia	#32A0CA	0.737085158530291	0.6559072363630379	0.3927741516595915
Lachnospiraceae FCS020 group	Clostridia	#32A0CA	0.49494833610191763	0.45959046453758207	0.4041696242642252
Akkermansia	Verrucomicrobiae	#7CD8C5	1.0179051336146094	0.8311641615978165	0.716471806535428
Barnesiella	Bacteroidia	#DCA32A	0.493739832222375	0.6063400532902561	0.5192497179612697
