Class	Frequency	Average	St. Dev.	Median	Interq. Range	Phyla
Clostridia	100	69.77671936135485	10.611876920385269	73.5607919298823	13.822207769102867	Firmicutes
Bacteroidia	100	13.916141189617269	7.745957429797591	12.224992402609118	10.666026322885182	Bacteroidetes
Actinobacteria	100	6.050598070609273	6.656254117278398	4.579532160513107	3.896170234169567	Actinobacteria
Erysipelotrichia	100	4.287887609666931	2.902925893420163	3.0913473818494603	3.648747748343856	Firmicutes
Negativicutes	100	2.0616187881951626	1.900903876468866	1.3196971139497493	2.3039657526115462	Firmicutes
Coriobacteriia	98.18181818181819	1.2223711635294707	0.9628068935199549	1.0190218705634502	0.5898916786207502	Actinobacteria
Bacilli	98.18181818181819	0.7940113914744318	0.5479417435034887	0.6573816016795117	0.8642161847941946	Firmicutes
Mollicutes	69.0909090909091	0.4671752138060432	0.6240025432881668	0.21602596292409898	0.7824883098194263	Tenericutes
Gammaproteobacteria	89.0909090909091	0.3948633103126663	0.36341411998838397	0.35944342626818165	0.36566712633574217	Proteobacteria
Verrucomicrobiae	76.36363636363637	0.30568302521175994	0.5164299506809223	0.06858515698099066	0.24336035758055446	Verrucomicrobia
Deltaproteobacteria	94.54545454545455	0.15228277407138466	0.09466678545423764	0.1370812198865588	0.10456665914717314	Proteobacteria
Alphaproteobacteria	29.09090909090909	0.0595599214623521	0.10624141993682858	8.572212316554656e-4	0.05910616099722169	Proteobacteria
Melainabacteria	10.909090909090908	0.030320107635883456	0.10764653298171895	0	0	Cyanobacteria
Lentisphaeria	7.2727272727272725	0.017078066304797537	0.06390027294116087	0	0	Lentisphaerae
Methanobacteria	9.090909090909092	0.014530430000113928	0.0416367652589735	0	0	Euryarchaeota
Brachyspirae	10.909090909090908	0.009883110121678912	0.027641025526570898	0	0	Spirochaetes
