Family	Frequency	Average	St. Dev.	Median	Interq. Range	Phyla	Class	Order
Lachnospiraceae	100	43.462141479856854	12.165652513909722	40.92703460909985	20.548558867488467	Firmicutes	Clostridia	Clostridiales
Ruminococcaceae	100	20.375411414896455	5.212618491523462	19.38046781845594	7.235224030157365	Firmicutes	Clostridia	Clostridiales
Bacteroidaceae	100	6.632486324837941	4.240372991881079	5.838449708036204	6.074953460600249	Bacteroidetes	Bacteroidia	Bacteroidales
Bifidobacteriaceae	100	6.046066408160149	6.6553568269272345	4.572652545911996	3.8936566837746067	Actinobacteria	Actinobacteria	Bifidobacteriales
Erysipelotrichaceae	100	4.287887609666931	2.902925893420163	3.0913473818494603	3.648747748343856	Firmicutes	Erysipelotrichia	Erysipelotrichales
Prevotellaceae	63.63636363636363	4.188105082462331	8.84971656987129	0.3607778937213631	2.540957281784756	Bacteroidetes	Bacteroidia	Bacteroidales
Peptostreptococcaceae	96.36363636363636	2.3720665003925605	3.190833390755	0.8182459687724406	2.2835797730997083	Firmicutes	Clostridia	Clostridiales
Christensenellaceae	94.54545454545455	2.163904025867837	2.4039501160438825	1.3230854523548232	1.4060264589832288	Firmicutes	Clostridia	Clostridiales
Rikenellaceae	100	1.7876564356922378	1.2892845618111382	1.176818964306223	2.0002238543691675	Bacteroidetes	Bacteroidia	Bacteroidales
Veillonellaceae	96.36363636363636	1.7705812235717795	1.7431749168908104	1.2768346112606892	2.2483705821211206	Firmicutes	Negativicutes	Selenomonadales
Clostridiaceae 1	80	0.7569420005148954	1.0796742469242389	0.3318685095337666	0.789655087236368	Firmicutes	Clostridia	Clostridiales
Streptococcaceae	89.0909090909091	0.6530149035551113	0.5205006503376182	0.563670384759349	0.7501900456576931	Firmicutes	Bacilli	Lactobacillales
Coriobacteriaceae	89.0909090909091	0.628874876689073	0.6700443981660995	0.5369978397537598	0.5854337387597933	Actinobacteria	Coriobacteriia	Coriobacteriales
Tannerellaceae	98.18181818181819	0.5768100944280632	0.4290282689862188	0.44797698518354845	0.659921785798179	Bacteroidetes	Bacteroidia	Bacteroidales
Eggerthellaceae	98.18181818181819	0.4598961681226028	0.29797455309898174	0.38124352334412837	0.36649706845157876	Actinobacteria	Coriobacteriia	Coriobacteriales
Family XIII	92.72727272727272	0.3837326896236899	0.31832305483928963	0.20743908705888522	0.332047648057026	Firmicutes	Clostridia	Clostridiales
Burkholderiaceae	89.0909090909091	0.35505220435980495	0.3595981211472605	0.29652911298429047	0.37707592407698354	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales
Barnesiellaceae	90.9090909090909	0.3289888531683164	0.2891125182786	0.25378497517269943	0.37355868784011714	Bacteroidetes	Bacteroidia	Bacteroidales
Akkermansiaceae	76.36363636363637	0.30491631122076307	0.5149212844858757	0.06858515698099066	0.24336035758055446	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales
Acidaminococcaceae	72.72727272727273	0.29103756462338315	0.43807825996557703	0.10304557590248148	0.33240821986910796	Firmicutes	Negativicutes	Selenomonadales
Marinifilaceae	94.54545454545455	0.24851528049687993	0.2841124102773647	0.13889830170859524	0.20965085217500018	Bacteroidetes	Bacteroidia	Bacteroidales
Desulfovibrionaceae	94.54545454545455	0.15228277407138466	0.09466678545423764	0.1370812198865588	0.10456665914717314	Proteobacteria	Deltaproteobacteria	Desulfovibrionales
Muribaculaceae	27.27272727272727	0.1461932291253022	0.3021217583304764	0	0.18826578681325096	Bacteroidetes	Bacteroidia	Bacteroidales
Lactobacillaceae	47.27272727272727	0.1248745779747489	0.21155028188248948	0.03996721584094076	0.09111593942796023	Firmicutes	Bacilli	Lactobacillales
Coriobacteriales Incertae Sedis	78.18181818181819	0.0668832593065974	0.057502521996061796	0.07540779156978826	0.0897842915167431	Actinobacteria	Coriobacteriia	Coriobacteriales
Atopobiaceae	29.09090909090909	0.04960022465493878	0.13557062037046236	0	0.026969777069304927	Actinobacteria	Coriobacteriia	Coriobacteriales
Anaeroplasmataceae	20	0.047927053651860944	0.11808662340123341	0	0	Tenericutes	Mollicutes	Anaeroplasmatales
Clostridiales vadinBB60 group	30.909090909090907	0.03749648917794765	0.0922208895951585	0	0.017658386931567512	Firmicutes	Clostridia	Clostridiales
Enterobacteriaceae	21.818181818181817	0.019778514819074774	0.05129663995222037	0.0032873623624276667	0.01357349998163492	Proteobacteria	Gammaproteobacteria	Enterobacteriales
vadinBE97	7.2727272727272725	0.017078066304797537	0.06390027294116087	0	0	Lentisphaerae	Lentisphaeria	Victivallales
Pasteurellaceae	23.636363636363637	0.015137113526674927	0.033682459495254995	0	0.007797059909428127	Proteobacteria	Gammaproteobacteria	Pasteurellales
Methanobacteriaceae	9.090909090909092	0.014530430000113928	0.0416367652589735	0	0	Euryarchaeota	Methanobacteria	Methanobacteriales
Enterococcaceae	5.454545454545454	0.013277362764157731	0.033556587564497864	0	0	Firmicutes	Bacilli	Lactobacillales
Brachyspiraceae	10.909090909090908	0.009883110121678912	0.027641025526570898	0	0	Spirochaetes	Brachyspirae	Brachyspirales
Flavobacteriaceae	7.2727272727272725	0.007385889406197476	0.027635467654594174	0	0	Bacteroidetes	Bacteroidia	Flavobacteriales
Peptococcaceae	29.09090909090909	0.00665424365700527	0.013429553227630444	0	0.008802637413574548	Firmicutes	Clostridia	Clostridiales
Defluviitaleaceae	16.363636363636363	0.005069270740318591	0.012669931917832033	0	0	Firmicutes	Clostridia	Clostridiales
Vibrionaceae	3.6363636363636362	0.004895477607111693	0.018317199950435886	0	0	Proteobacteria	Gammaproteobacteria	Vibrionales
Actinomycetaceae	18.181818181818183	0.004531662449124363	0.006162022744641337	0.001155201293825449	0.007763196808394657	Actinobacteria	Actinobacteria	Actinomycetales
Leuconostocaceae	5.454545454545454	0.0019814776066283237	0.004660636183902648	0	0	Firmicutes	Bacilli	Lactobacillales
Carnobacteriaceae	3.6363636363636362	8.630695737855918e-4	0.002294424990427178	0	0	Firmicutes	Bacilli	Lactobacillales
