Sample_ID	Erysipelotrichaceae	Lachnospiraceae	Bifidobacteriaceae	Bacteroidaceae	Christensenellaceae	Veillonellaceae	Ruminococcaceae	Prevotellaceae	Rikenellaceae	Peptostreptococcaceae	Clostridiaceae 1	Coriobacteriaceae	Streptococcaceae	Lactobacillaceae	Acidaminococcaceae	Eggerthellaceae	Tannerellaceae	Barnesiellaceae	Burkholderiaceae	Akkermansiaceae	Family XIII	Muribaculaceae	Marinifilaceae	Coriobacteriales Incertae Sedis	Desulfovibrionaceae	Anaeroplasmataceae	Atopobiaceae	Clostridiales vadinBB60 group	Enterobacteriaceae	Brachyspiraceae	Vibrionaceae	Enterococcaceae	Pasteurellaceae	Actinomycetaceae	Flavobacteriaceae	Defluviitaleaceae	Peptococcaceae	Puniceicoccaceae	Leuconostocaceae	Methanobacteriaceae	vadinBE97	Carnobacteriaceae
A02_00	5.2191835468285985	44.87057311289392	1.1025663756039183	11.580825318026683	1.0970258410531448	0.08310801826160187	21.687868445547632	3.224591108550153	0.8576747484597315	0.45432383316342356	0	0.12743229466778955	0	0.016621603652320377	0.4044590222064625	0.20721599219892736	1.3507823234785694	0.91640441469793	1.6344576924781702	0.04099995567572359	0.5906209831124507	0	0.5972696245733788	0.13297282921856302	0.49089136119852844	0.549621027436727	0	0.18837817472629761	0	0.10305394264438633	0	0	0	0	0.08754044590222065	0	0.03435131421479544	0	0	0	0.1739727848942866	0
A11_00	11.709937230797095	38.565420904578346	4.130655029743206	11.317700462420548	0.9746489396023297	3.5861647394427183	18.658131413467363	1.3832996564390787	2.4134164218724354	0.44544060131651186	0.020941934242326477	1.325001839494224	0.1307455894588491	0	0.36054086790167483	0.35035289989189433	0.4544965728807611	0.08263574052377476	0.15395151659223788	0.50204042359307	0.9361610604542702	0	0.5309063329541145	0.09791769253844544	0.12395361078566215	0	0.03905387737082506	0.004527985782124644	0	0	0	0	0	0.01188596267807719	0	0	0.017545944905732996	0	0	0	0	0
A07_00	1.6326785937695483	68.6715459360273	4.153634430126361	7.305350515033987	0.7694232453396723	0.01668126277159181	13.891321573043076	0	0.8976604528962843	0.12302431294048959	0	0	0.2960924141957546	0.018766420618040784	0.3336252554318362	0.2669002043454689	1.0884523958463657	0.08027857708828558	0	0.09070436632053047	0.09800241878310188	0	0	0	0.09383210309020393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A08_00	3.2260461982103394	35.58064867757375	2.265317649856807	7.37318284066473	8.439447841209756	0.6099313269846304	26.683380733899515	0	4.361182404645588	2.889122313279756	0.03914262780811194	0.058961679862852154	0.005945715616422066	0	0	0.6703794357515881	0.26012505821846543	1.0087897495862772	0.3210686432867916	1.8268211231456797	0.4573246261631306	0	0.5574108390395688	0.0708531110956963	0.14715646150644615	0.40282223301259507	0	0.03171048328758436	0	0	0	0	0	0	0	0	0.0034683341095795386	0	0	0	0	0
A10_00	9.083442146497623	29.7312665852323	6.778358114653973	4.4395771029021525	3.5845162377321937	2.211364306474032	23.64053746682954	0.053704561728655065	1.3857882987237269	8.355797986605452	0.4843940861800261	2.8179099448211957	1.004591213512489	0.09161366412535277	0.10530306221304916	1.2625837159344595	1.13516701065667	0.19586369571627144	0.1632197464302262	0.02843182679752327	1.28575038962133	0	0.27905311486458023	0	0.05686365359504654	0	0.6255001895455119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A04_00	2.0066277143106306	59.921513909479394	10.558995378041335	7.411703148164299	1.0412488009069503	0.04970785732972879	14.659457573907739	0.28691026423650473	0.4290572948460801	0.0688933461236592	0	0.8092788000348828	0.3418505276009418	0	0.5842853405424261	0.2999912793232755	0.24417894828638703	0	0.6898055289090433	0.03488270689805529	0.11424086509113107	0	0.027906165518444232	0.1316822185401587	0.12819394785035318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A05_00	1.345535762924225	44.35910007081767	1.6821920793157923	8.3150841640791	1.449038513918396	3.126872582666013	26.951026856240112	0	2.380563272865937	3.6236857874380344	2.1583047338889796	0.046848613607888	0.4314430462493872	0	0.13727733289753227	0.269107152584845	0.47175464400501177	0.7680993626409544	0.5360352998856023	0.21899003105082532	0.4172795119028163	0	0.19502097292585932	0.2538541155962303	0.1721414174429373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A08_07	4.238568588469184	39.462425447316114	1.9562624254473162	7.416302186878726	6.131212723658051	0.547117296222664	29.100596421471163	0	3.9840954274353884	0.9558648111332008	0.3053677932405567	0	0.12246520874751492	0.09860834990059641	0	0.6043737574552684	0.22107355864811135	0.8715705765407554	0.2544731610337972	0.7491053677932406	0.3292246520874752	0	0.18131212723658052	0.11769383697813121	0.10019880715705765	0.07634194831013917	0	0.028628230616302187	0	0	0	0	0	0	0	0	0.015904572564612324	0	0	0	0	0
A02_07	5.962342147966168	38.552611300981766	1.506676699090736	7.733729795392942	2.1285661188117015	0.13054238548078578	28.75830621254839	5.250704838227162	0.6436464839677632	1.2564704602525631	0.5194499088922935	0.16227143750736564	0.025383241621263906	0.07252354748932544	0.2683371257105041	0.1278227524499361	1.377040857953567	0.686254068117742	1.0887597566834981	0.037168318088279285	0.5665902147603551	0	0.2502062388381728	0.09971987779782247	0.04260758414997869	0.6409268509369136	0	0.10243951082867218	0	0.0679908257712426	0	0	0	0	0.09700024476697278	0	0.03444868505742959	0	0	0	0.19218740084671243	0
A05_07	1.9296836441407874	47.20079742192716	3.118074574434111	9.001480649937578	1.039358191478037	2.942428846544666	20.16006503246785	0	1.9722644266594411	4.662111813263914	3.109364868918932	0.035806567117958446	0.957583734141078	0	0.05177436056245342	0.21483940270775065	0.7891960941809488	0.6237116893925464	0.306291310617131	0.19790386420601358	0.20274258949222415	0	0.17129087513185526	0.047419507804863884	0.08274220239420127	0	0	0	0.007741960457936961	0	0	0	0.19064577627669765	0.03290333194623209	0	0	0	0	0	0	0	0
A10_07	7.356630691349593	39.839818292483784	5.441575986104719	2.208251065156397	2.9497780614895865	4.207924466679533	25.137690948768586	0.16181469990053593	0.64948560739894	3.907305414112023	0.491382253826398	1.8074256617330504	1.72800285031398	0.13880435266697347	0.14548477605736257	0.7600837279731595	0.5596710262614867	0.15290746871335045	0.017814462374370926	0.020783539436766082	0.8847849645937558	0	0.08164961921586675	0.011134038983981829	0.02523715503035881	0	0.37929959472098096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A11_07	14.714206682007328	29.442845345285146	2.2056878041740497	13.925258372553579	1.6837311482244655	2.4766883413644636	21.057062450390056	0.488282032985095	3.7346760421093146	0.7191937333130217	0	1.1457389575298862	0.2830271882491601	0.02084619516849338	0.8178122719947403	0.6486373804350442	0.8546940019082285	0.33273734595864435	0.18921930999093992	0.9460965499546996	1.2603930309565996	0	1.2074757662981166	0.12748250122270952	0.2132726121084323	0	0.02164797190574313	0.04730482749773498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A04_07	1.3667975691625898	57.91448191132269	8.192009828656678	9.05530813277462	1.0015137886400036	0.09104670805818213	18.15888199030298	0.3060485728702749	0.9104670805818214	0.03071455211601325	0	0.35541124591386763	0.462912178319914	0	0.47168776463877493	0.16893003663807288	0.2303591408700994	0	0.35870209078344045	0.1447971742612053	0.13931243281191724	0	0.12614905333362586	0.07568943200017551	0.11627651872490731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A07_07	2.0674693567632065	60.35470224536284	7.59084499403406	11.517518168998809	0.21802798568174422	0	13.08167914090466	0	0.9469573706475757	0.13558954333441803	0.008677730773402755	0	1.9091007701486065	0.018440177893480854	0.47293632715045014	0.5033083848573597	0.4447337021368912	0.14318255776114547	0	0	0.13016596160104135	0	0.04447337021368912	0	0.1833170625881332	0	0	0	0	0	0	0	0	0	0	0.02169432693350689	0	0	0	0	0	0
A05_14	3.431372549019608	20.686274509803923	4.11764705882353	30.098039215686274	0	2.941176470588235	34.41176470588235	0	4.313725490196078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
