Genus	Frequency	Average	St. Dev.	Median	Interq. Range	Phyla	Class	Order	Family
Blautia	98.18181818181819	8.448099197298264	4.196812342561875	7.779720336772883	4.389388346208964	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Faecalibacterium	100	8.049488907988666	1.8659437862871102	8.339583879821047	3.205045092814556	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Bacteroides	100	6.632486324837941	4.240372991881079	5.838449708036204	6.074953460600249	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae
Bifidobacterium	100	6.046066408160149	6.6553568269272345	4.572652545911996	3.8936566837746067	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae
Anaerostipes	100	5.306488523753989	5.41069037728786	3.458871237128737	3.6101348464908054	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Agathobacter	100	4.975554672348655	3.144010714392608	4.947787951703904	4.7940377083330565	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Prevotella 9	50.90909090909091	3.8642987800155293	8.55053537839645	0.017997866251521066	2.2632769500242467	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Roseburia	98.18181818181819	3.539429199766358	1.9940976802481498	3.2481601042541595	1.831037996092849	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Subdoligranulum	100	3.0554207952965586	2.4433856231599718	2.1323165598341767	2.211124582453035	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Coprococcus 2	83.63636363636363	2.8254277942964974	2.339190388433492	2.909113610935809	2.6678739671719747	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Fusicatenibacter	98.18181818181819	2.665693185969632	1.8341341169486367	2.5328561640952154	1.7533200419295187	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
[Eubacterium] hallii group	98.18181818181819	2.6009314463260877	0.8828182562740274	2.5469198378309637	0.5888285234662485	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Christensenellaceae R-7 group	94.54545454545455	2.15584015391322	2.3943193126257207	1.3207251726652434	1.4079275815961316	Firmicutes	Clostridia	Clostridiales	Christensenellaceae
Dorea	98.18181818181819	1.9715906707088156	1.271806025390588	1.5742204728123514	1.5239527155391173	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Alistipes	100	1.5057376809278034	1.089620652293459	0.9919042101210866	1.413205621492759	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae
Holdemanella	58.18181818181818	1.4798007862252363	1.8581273828765315	0.5300268770908443	2.775466271150625	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
[Ruminococcus] torques group	98.18181818181819	1.416395781452838	1.316646047051892	0.9414986499491532	0.3274090825882876	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminococcus 2	78.18181818181819	1.3999928497235443	1.4475748158929316	1.146342915735008	0.7994614360080616	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ruminococcaceae UCG-002	96.36363636363636	1.2828743601736061	0.8142018915571385	1.0111454662408572	1.1080034464604462	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Lachnospiraceae NK4A136 group	100	1.2789091062044515	1.378154452322419	0.9712549950227859	0.6414416846016904	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Catenibacterium	34.54545454545455	1.266347176970432	3.0767891721905136	0.005278600458501643	0.016895102663700815	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
[Eubacterium] coprostanoligenes group	98.18181818181819	1.1459981001244488	0.5326592791933096	1.1654415052521516	0.826861462300619	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Romboutsia	90.9090909090909	1.1180930077438227	0.9324525903801606	0.6847691633160783	1.4502282091753154	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
