Exp_Name	Holdemanella	Anaerostipes	Agathobacter	Bifidobacterium	Coprococcus 2	Bacteroides	Roseburia	Christensenellaceae R-7 group	Fusicatenibacter	Dialister	Blautia	Subdoligranulum	[Ruminococcus] torques group	Prevotella 9	Alistipes	Megamonas	Ruminococcus 2	CAG-56	Erysipelotrichaceae UCG-003	Intestinibacter	Dorea	Lachnospiraceae NK4A136 group	[Eubacterium] hallii group	Faecalibacterium	Clostridium sensu stricto 1	Ruminococcaceae NK4A214 group	Lachnospiraceae ND3007 group	Collinsella	Coprococcus 1	Streptococcus	[Eubacterium] ruminantium group	Terrisporobacter	Lactobacillus	Ruminococcus 1	Phascolarctobacterium	Catenibacterium	[Eubacterium] xylanophilum group	Paraprevotella	Turicibacter	Parabacteroides	[Eubacterium] coprostanoligenes group	Romboutsia	Tyzzerella 3	Lachnospira	Ruminococcaceae UCG-002	[Ruminococcus] gauvreauii group	Barnesiella	Ruminiclostridium 5	Lachnoclostridium	Butyrivibrio	[Eubacterium] eligens group	Sutterella	Lachnospiraceae UCG-001	Akkermansia	Butyricicoccus	Ruminococcaceae UCG-014	Coprococcus 3	Ruminococcaceae UCG-013	Lachnospiraceae FCS020 group	[Eubacterium] ventriosum group	Megasphaera	Senegalimassilia	Mogibacterium	Family XIII UCG-001	Ruminiclostridium 6	Ruminiclostridium 9	Solobacterium	Family XIII AD3011 group	Parasutterella	Ruminococcaceae UCG-008	Ruminococcaceae UCG-004	Ruminococcaceae UCG-005	Marvinbryantia	Adlercreutzia	Acidaminococcus	Oribacterium	Lachnospiraceae UCG-004	Odoribacter	Desulfovibrio	Lachnospiraceae NK4B4 group	Anaeroplasma	Moryella	Asteroleplasma	Negativibacillus	Lachnospiraceae UCG-008	Lachnospiraceae UCG-003	Mitsuokella	Olsenella	Alloprevotella	Erysipelatoclostridium	Butyricimonas	Libanicoccus	Ruminococcaceae UCG-003	Bilophila	Ruminococcaceae UCG-010	Prevotella 2	Merdibacter	Enterorhabdus	Klebsiella	Tyzzerella	Slackia	Prevotellaceae UCG-003	Veillonella	Raoultibacter	Acetitomaculum	[Eubacterium] brachy group	Lachnospiraceae UCG-010	Coprobacter	[Ruminococcus] gnavus group	Oscillibacter	Lactococcus	Phocea	UBA1819	Eisenbergiella	Brachyspira	Howardella	[Bacteroides] pectinophilus group	Vibrio	[Eubacterium] nodatum group	Enterococcus	Actinomyces	Haemophilus	Prevotellaceae NK3B31 group	Oxalobacter	[Clostridium] innocuum group	Fournierella	Allisonella	Erysipelotrichaceae UCG-004	Hydrogenoanaerobacterium	Eggerthella	Holdemania	Defluviitaleaceae UCG-011	DTU089	CAG-352	Escherichia-Shigella	Leuconostoc	Tyzzerella 4	Dielma	Anaerosporobacter	[Eubacterium] oxidoreducens group	Methanobrevibacter	GCA-900066575	Faecalitalea	Peptococcus	Ruminiclostridium	Granulicatella	[Eubacterium] fissicatena group	Ruminococcaceae UCG-009
A02	3.998325473410433	2.042684760057834	6.313436802781114	1.9628902551327752	0.21771068887333944	9.799048707101514	5.200495009100005	1.4694588945347768	3.2444680179668324	0.19430754172540998	6.569809932310148	3.95590120939453	1.058324285281597	3.259873224730913	0.8362875301661847	0	1.4586841695727721	0.31756797596720926	0.6255283145622664	0	2.5555523611747883	0.6104220992702214	2.600671623377736	9.654860411324744	0.14724081941631914	0.43834097589776944	1.0548988431416093	0.1747393041762793	0.34281656929263504	0.043310702048366984	4.094693222686345	0.00871679588934257	0.5009257697952482	0.304020853134334	0.282226759565541	0.00800384827637167	0.46388578604891534	0.679003262719565	0.025611887159099202	1.4924756413702671	1.753950247074327	0.7619277202980161	0	0.3428410731567753	1.4017095985310175	0.2571373000504021	0.6435181827666786	0.0442069359910275	0.10225457909777286	0	0.5370612427177528	1.3860633709466292	0.07945460328733614	0.07263883413618026	0.26139506109125477	1.3161989573257968	0.5551330943942615	0.11021160338959587	0.3545110685370059	0.5491926691989195	0	0	0	0.22689242429438644	0.7482951506079205	0.3279443046471953	0.4942284295782932	0.38477473557110325	0	0.1983921793529874	0.23712329739914761	1.3614148979560954	0.283418850478647	0.05726435433686431	0.037720575416977944	0	0.22127885770693326	0.42006088268642444	0.22478716320069853	0.06953277484727859	0.41906418645491983	0.014354268381668978	0	0.006027797368329504	0.09723449007920638	0	0	0	0.37311205408612635	0.03787583313944164	0	0	0.3199938351820458	0.049698003703580386	0.8220210022865289	0	0	0.09836891177089735	0	0.16680288553382214	0	0	0	0	0.01073711852551753	0	0	0.05850340392007597	0	0	0	0	0	0	0.09857198249780537	0.03789693998646071	0	0	0	0	0	0	0	0.011188791409078792	0	0	0.0086147131438135	0.05004169735565668	0	6.135496300295731e-4	0	0	0	0	0	0	0	0	0.03093387173213263	0.0045877873101803	0	0	0	0.027333989412525343	0	0	0	0
A11	0	1.6832419319680219	3.6251490125488175	4.780882129368586	3.1926128428354206	12.876974523507931	1.9712754655425015	2.0438950852401083	1.8270880875868054	1.2605940386714372	5.222475281237282	3.132716793120932	0.6611232455893328	0	3.5654925018429524	0	0.5475194657013623	0.08910089257975447	0.1660026184936981	0.022689747375843446	1.7341329043347686	0.4979975995188167	2.1104741922675694	5.341855227851407	0.10126418032022427	1.8750223607746048	0.5378414200890933	0.8373535689690734	0.5199618469734905	0.23330815486661965	0.4899945382638442	0.007679606804131629	0.014487629696039638	1.1879456033548184	0.20971953717912206	10.589959025893554	0.30129233435936204	0	0.08145018702093612	1.0964143899491667	2.003801837122002	0.8354780671775475	0.2866696080871237	1.4663239976572593	2.8661047159326185	0.10852686206668832	0.25852472680326305	0.1545719361662256	0.20875715076071716	0	0.023722656024227205	0.3685024735820532	0.4327506386551628	1.242151295375864	0.10203040259976251	0.6125871133793235	0.27706306992077734	0.06670232101683965	0.2343259967685462	0.12965467844894724	1.0232997458254658	0	0.6519592733685264	0	0.10400818721252333	0.13695504008608675	0	0.203202808138487	0.022512234268758115	0.2311736184561896	0.11607416648013885	1.579515559627288	0.1752334545581926	0.15158787564764972	0.27698669007164806	0	0.06577042517614225	0.8988792482250065	0.034227168575987205	0.031329305030491535	0	0.006933478228878361	0	0.11316191372360436	0.020649796934750816	0	0.04691955700454697	0.03427731781016967	0.5944623929117013	5.496936831950396e-4	0.24942320092702225	0	0.20327909453015305	0.15592151344598726	0.2271611175527027	0	0	0	0	0	0.18316903615469643	0	0	0	0	0.018849943973777636	0	0.0264422825187714	0	0.019897163083431944	0.0053810465486997285	0	0.02045929572343942	0.09476647942164403	0	0.014807374563334025	0	0	0	0	0.013759229202221947	0	0	0	0.02318880387725298	0	0	0	0.052068380204494315	5.496936831950396e-4	0	0.0040163530154163985	0.00974786884294902	0	0.004122702623962797	0	0	0.001002220921562182	0	0.01591899033440201	0.1507122835310832	0.007923975118718127	0	0.005148827289133706	0.007505070285855909	0.004328837755160937	0	0
A07	0.003156632084008502	22.074319199573328	6.969278070966814	4.364422962455405	0	10.374525698603717	4.236800539299585	0.6087183355845612	5.418738270919707	0	8.038212592241203	1.026840656176203	0.6231942726047563	0	1.3503716691383127	0	0.08653405062763252	0.45352779538225835	2.325051528204377	0.033897385833604514	0.6910220767016632	1.1741234871637851	2.3519358061809665	9.84367911900027	0.0021694326933506883	0.04935330955463009	2.264309682314199	0	0.24476338050438265	0.6628939063863465	0	0	0.00930164962788041	0.345951197212682	0.3669135872751082	0.0051524026467078855	0.8338507595307499	0	0	1.054048683369967	0.2400740697524788	0.0889312507741707	0.8493483338764568	1.209974682239862	0.49679996091040873	2.1475109525911678	0.18759945055186394	0.7625422265267279	0.21472750217416464	0	0.4399403159243211	0	0.22506407386194263	0.027784155510390512	0.37653947205337	0.5713710621463346	0.12430589265964263	0.3761545858471396	0.29983051450129283	0.395267261783563	0	0	0	0.0692512476020899	0	0	0	0.04564371959381072	0	0	0.10144461278652869	0.0810732139257635	0.09748491870770265	0.321902170269491	0	0	0.0732206121343564	0.1252886971236595	0	0	0	0.0041703156928979525	0	0.00993234653105703	0.057841628833962336	0	0	0	0	0.19272200489056307	0	0	0.05294420577497106	0.10413956702911795	0.0034053759535052673	0	0	0	0	0	0	0	0.009562160952614626	0	0	0	0	0	0	0.0015638683848367319	0.33527930248531296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10527827093322448	0.011870938674064854	0.02375288516599836	0	0	0	0	0	0	0	0.12195616494642288	0	0	0	0	0	0	0	0.008513439883763168
A08	2.1344293194283135	2.2106823339618753	6.746979713963931	2.383557104372164	3.3735183696823103	6.7961875657151	1.4560256739710158	8.42516279472937	1.2910102048439767	0.6246473936377858	7.521228081304561	8.880632676773251	0.8492571142992539	0	1.3975214751159613	0	0.7858958410036405	0.43079724229297156	0.28611029620950745	0.7497261978596952	1.1439074220970524	2.16784590692724	1.5181346984381336	6.285559690939785	0.1259173039934551	2.343214596511016	1.4210072663544204	0.030422967853111074	1.111554365020102	0.02822457554947079	0	0.1608076556156871	0.04391608512971556	0.7563644328929314	0.007844538102043275	0.005404798270295401	0.5969944949062692	0	0.760745209875502	0.2582640378625498	1.4826000919041546	0.4154218043050729	0	0.18301895526603057	2.704543751648224	0.0669992622984672	0.9106411364959016	0.540244685084664	0.10177134804642941	0	0.32103941586641593	0.04734626213522174	0.19289240972954147	1.6677028037831407	0.4640613781432234	2.8963953290138416	0.21115892374643222	0.06317257196210656	0.16905453867232964	0.05338757147245647	0	0	0	0.048487497580574634	0.2698057564675478	0.5876590014408154	0	0.41000477173869865	0.21357823324596212	0	0.11611072605203321	0.4342403251256066	0.20451774457484884	0.057008139953202516	0	0	0.02714786042681913	0.19688613487541168	0	0	0.1811416389531415	0.03249122134547631	0	0	0.1425962172297367	0.01431411530815109	0	0	0	0.029086791363482762	0.13023489030775928	0	0.3244329725568734	0.12000772755750827	0.5168340094488812	0	0.004504373498872804	0.23808283458537802	0	0	0.27987186280267784	0	0	0	0.03055463853585354	0	0	0.030590186361001713	0	0	0.047828984089832625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046938612021835226	0	0	0	0	0.0039638104109480455	0	0	0	0	0	0.2808817826260691	0	0	0.010194046676740783	0	0.007841475691118784	0	0	0	0
A10	1.0457831841743495	3.069939587465955	3.2309664899089854	5.040441181166812	1.9885400165744347	3.8681249976779464	1.152070660602426	2.9351932740735958	1.8698394111753238	1.065342046710274	8.807729430177918	1.6140130744359307	1.8729481398558376	0.42313315484372555	1.0032662594741333	0	3.54581122626925	0	0.6994827588561661	0.70794135235844	3.1805272858972957	0.7311042254129629	2.4931680522841915	10.107214102264653	0.5512307087670304	0.35286571354909607	0.7140512675862484	2.381338531365084	0.15736817520213597	1.6675744722596764	0	2.387818696480864	0.05760450419808156	1.5132956042871075	0	5.575077905691557	0.10788851051312981	0	0.10844410663207722	0.7200251498309791	1.5755778359624482	2.991222116127408	0.016048286698635162	0.3586610754685152	1.978338719531346	0.3535438875474496	0.28660440861001485	1.2261409953331657	0.0744388364363977	0	0.05742323037550985	0.08448268727615303	0.17403908860332168	0.01230384155857234	0.14965559513366183	1.4278529206712722	0.09644249853856349	0.12098952321751527	0.1673485269766127	0.5677062473240496	1.4678609777467806	0	0.14579768625273998	0.13770767499434963	0.022175001118705323	0.10505784778814223	0	0.620336379565728	0	0	0.5333612010782927	0.4106980567700196	0.34855630530377785	0.12006330131502431	0.1074317546795063	0	0.0048247502263921264	0.20553696508048513	0	0	0	0	0	0.5972248548905771	0.10399793299434626	0	0.7383414748303572	0	0	0.12512743559711695	0	0.5085572057064599	0	0.028620234753531447	0.0012989712147978801	0	0.014746403309902248	0.3727453344288283	0	0	0.10581867875866914	0	0	0	0	0.009239757094179023	0	0	0	0.17727568709406422	0.0021350315984676573	0	0.09552377660667755	0	0	0.051794294677468045	0	0	0.22784174765558013	0	0.018280034566399407	0	0	0.021256570230953252	0	0.007634472010446062	0	0	0	0	0	0	0.011056821532370162	0	0.016470243759607643	0	0	0	0	0	0	0	0	0	0.013689398087696392	0	0	0
A04	5.93466174801901e-4	8.147911018347942	9.732866774498705	7.765340830537218	6.708831172148577	7.662719255857301	3.0693951687681134	1.1719914507957099	2.979994815936314	0.024430615164120796	11.695706877371869	4.514189846235293	1.0561808295988449	0	0.7537425454499982	0	1.185967035119689	1.1822775151187497	1.7434197574449948	0.0026112511691283643	2.7698698537910134	0.30458763922673066	2.7604469549316795	6.8069226139599825	0.1032631144155308	0.1966635997607268	1.1239320923114144	0.541385369320265	0.19728748939196217	0.9975644290369814	0	0.004154263223613308	0	1.172003395838047	0.5538645132153224	0.015322177563728764	0.7263449350644233	0.29842263259900065	0.019028797145839327	0.27485728781598356	0.5827219866878647	0.1789185544001245	0.9030517074571439	1.0041589641864408	0.42609196752717476	0.5043593413473231	0	0.2176619314331332	0.9213151835256385	0	0	0.5177141527096616	1.2250387491968342	0.09915689559710959	0.12327419502805619	0.4751232136049461	0.28975656583507803	0.084896048917609	0.20862429274330396	0.882114260534368	0	0	0	0.08129442966724874	0.06791069523437678	0.21143445654657383	0	0.07955351341145456	0	0.07735652649740293	0.06297653286143998	0.3374586703007751	0.08654703332614747	0.09287985462755988	0	0	0.10929798257496032	0	0	0	0	0.00548474144928808	0	0.006294128950828121	0.04852591809054986	0	0	0	0	0.011779903509337119	0.020047587105993445	0	0.01645422434786424	0.13736785772898505	0	0	0	0	0	0	0.11636794065712519	0	0.02121142908360877	0	0	0	0.015410835869054831	0	0	0.005644118470900287	0	0	0.0010682391146434218	0	0	0	0	0	0	0	0	0.004035569988652927	0	0	0	0	0.01633393738967318	0	0	0	0	0	0	0.06487064031137908	0.004629036163454828	0	0	0	0	0	0	0.003560797048811406	0	0	0	0	0.011792194115969372	0
A05	0	3.406343713176517	9.292185250453395	2.5999228562171526	2.781393320886405	14.972961475638028	3.1760006707393713	1.0409539558189096	0.4642623844864654	2.61440315322079	4.103371913868911	7.366147426213493	0.7790851382240802	0	2.991192869577574	0	5.247150239634477	0.06325563003716621	0.2892399356385898	0.6766410347335681	0.8991089632873961	5.742434225606313	1.7659041640159123	8.112117063672095	1.5752813413045816	1.3579561882191356	0.14984066050907846	0.02513649069087532	0.18440451778916392	0.4030338390973637	0	0.2206838750460917	0	1.7126867848568956	0	0.017419411030358167	1.7294374877586185	0	0.29370249285865885	0.5199292790361293	0.8447326031289006	1.8529504439871023	0	0.3649548737204502	0.9869785386337749	0.4524490363237003	0.5686934413847341	0.08351147853924676	0.029153319849418873	0	0.045650778700977196	0	1.0770724650493466	0.13105964687069196	0.14231547169726239	0.24573634312668088	0.2825953706497832	0.09450430384629951	0.34623699141403974	0.5700080840514382	0.003991948361123747	0	0	0.0820819331972312	0	0	0	0.1358142239026299	0.3183817107712839	0	0	0.2992840241111277	0.19536273000073273	0.1725541870493305	0.06752160302528204	0.02873537095385936	0.008709705515179083	0.14156691182552303	0	0	0	0	0	0	0	0	0	0	0	0.12076346401599476	0	0	0.19820079101127985	0.09660837194026779	0.017497189780038946	0	0.29394826276823216	0	0	0	0	0	0.2604017446857338	0	0	0.0027822670395710957	0	0	0	0.03710244067445518	0	0	0.026215822538601316	0	0	0	0	0	0.0064164288316429915	0	0.008225832986558023	0.024193626431053	0	0.013752019816113141	0	0	0	0	0	0	0.8885679371186679	0	0	0	0	0	0	0.009533148117884185	0.2194898275262514	0.006898341343436194	0	0	0	0	0	0	0	0
A01	0.0019662700419096416	2.783199726003048	1.694777714597347	4.93238488496944	0.002437014258748881	1.6102428975718257	5.415630939196222	0.6669743600897933	2.393140828697162	0	19.787923083849467	1.811068226315872	5.169322580561595	1.038811994068994	0.9805421607680399	3.230839974199461	1.182806616161225	0.010412697287381584	2.5403124019258065	0	5.4323366882886095	0.9545383600246664	4.256134368013323	9.017655005164016	0.9862372838371103	0.22746720864733183	0.3097263092959052	1.6559879279446608	0.627790996306255	1.1962658993661435	0.3777345467116838	0	0.10538696771387993	0.749307260320792	1.6637528340970202	0	0	0.13546706968227046	0	0.4220810941704721	1.5713094866260429	0.6076106063341404	0	0.3366903293465926	1.5001534824517053	0.3036501752018391	0.20146871117243179	0.2558297179465423	0.6035984236817161	0	0.11122116002025141	0.0727347012620312	0	0.31392965079352747	0.2124546056239791	0.14229118832351126	1.7572792592902322	0.22644292449138398	0.15559372988784526	0.05757956876513815	0	0.3891730953512544	0	0.2007049018144658	0.019274567319195697	0.3876843505321014	0	0.28165311073004173	0	0	0.1798401601872619	0.7357444281867235	0.42509378488778204	0.08496293871346429	0	0	0.03993405760246766	0.09014575024602187	0.24930517741554217	0	0	0.01340196098360492	0	0.8053131790383321	0.053215843430174804	0	0.118704295183646	0.0357803884273593	0	0	0.046083941345645606	0	0.04664339234908795	0.0934714913570555	0.006741497286547342	0	0.002437014258748881	0	0	0.13308756483477752	0	0.17609564532432265	0	0	0	0.026205621482317403	0.019864764960320937	0	0	0.033744792431484864	0.0779844562799642	0	0.005230329562624487	0	0	0	0	0	0	0	0.0028314050738778925	0	0.049484585519459987	0	0	0	0.021870072849089175	0	0	0	0.024918645664466218	0	0	0	0.0024520221008925364	0.011170322904065997	0	0	0	0	0	0.00784081405073878	0.024823028245460295	0	0	0.007754136277837349	0	0
A06	0.0014264340416899122	9.430336347003996	5.283560444977426	7.192362606636969	3.1665256270810933	4.880711850357307	1.9218886965412993	6.4372382331507865	3.9311889679533847	1.071482522598256	11.677587860659905	0.919189853236313	3.502509299348063	0.002265741237245765	2.4509387257904183	0	2.233836201096976	0.18237326594093697	0.5739149007176506	0	1.6689495731955557	1.5506750949793031	2.738897242596151	5.785506341496621	0.04527822957277229	0.7931116189721606	0.44752004678062907	0.5826784825726566	0.6479695645624373	0.4140246273578869	0	0.09456214558107662	0.03667310442436126	1.1750760558377604	0	0	0.615554302987809	0	0.05508927578565366	0.10286245216322158	1.366433177038086	0.507245858955364	0.414622867893406	0.20552408715075998	1.8438220884508034	2.237032602266795	0.20187593497243114	0.38390688412419355	0.08812021087353732	0.14410288769186086	0	0	0.05189361424301314	0.0032098000860981673	0.13135177181583368	2.5177449058463854	0.42639938271099576	0.10625741818373015	0.6240915417107282	0.41845012277812854	0	0	0	0.13110870744731756	0.07925162672006182	0.22266962888067018	0	0.28072828869007027	0.1590768896261433	0	0.2726850368258567	0.8152603600962417	0.3597964162076055	0.2834952534093354	0	0	0.049209005464425824	0.2971657360463351	0	0.05864547596864227	0	0.01589920676770249	0	0	0	0	0	0	0	0.07316863505624563	0.006001253316878091	0	0.032380175968778756	0.13679458204413258	0.19854997710268418	0	0.009440588488524021	0	0	0	0	0	0.0015849267129887917	0	0	0	0.003328346097276462	0.04012734764297664	0	0	0.007924633564943957	0	0.030169655109522867	0	0.039791559205699434	0	0	0	0	0	0.011661081597128363	0	0	0.036202803874284505	0.005738785647939361	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03672201948875385	0	0	0.021600410722184365	0	0	0	0	0	0
A09	4.9403293552897605	3.5113987610809567	0.3313952983305943	1.8746517522464101	3.036833900985213	3.1845185622746954	8.921759404172025	0.6878008211138988	2.7554309042650713	1.4806017732101338	7.061697913523998	1.5139696723521503	0.9884633374273983	18.259588830358897	0.24602846453101532	0	0	0.9356331584998339	0.7774185604655669	0	0.9026465881860553	0.45253155074554674	3.715393546058412	9.51920082406333	0.4855984342308069	1.6849329664755262	0.9290135064982389	0.34941261633734505	0.25870681603221274	0.8434223423456209	1.5525738972448047	0	0.6812083846503852	1.5295277190278969	0.06081407280132433	0	0.18255832637030706	0.5529685278640513	0.018283464467556344	0.4738728761966248	0.9644498334662173	0.4511466108225698	0	0.6659848379170445	0.9230583871396367	0.4690679417079504	0.06959531195771618	0.08141512026168153	0.2739283535338993	0	0.4957957868413682	0.602686668661318	0.25547820229368706	0.016659713648474454	1.064541421703815	0.43696235517693605	0.15893739475939928	0.18329348577353136	0.7015087324178687	0.17136766885021906	0	0.18243087295399257	0	0.033468116709784806	0.12943157234934802	0.06931274253750085	0	0.08613651059583464	0.0048462004295619695	0	0.10726884349800928	0.4018700005129743	0.1237505172475356	0.05654166100823599	0.024910932576795306	0	0.25470520158969406	0.06537152974380263	0.13003811838001905	0	0.07077292571799193	0.008079771104837406	0	0.0033961623365596876	0.024314489205386924	0	0	0	0	0.0025471217524197657	0.04689158333184702	0	0.2772433416687029	0.07732276075886078	0.128497388072363	0	0	0	0	0	0	0	0	0	0	0	0.008792692084676	0	0	0	0.03136852311289817	0	0	0	0	0	0	0	0	0.11430499710078801	0.002310402587650898	0.00905088988301986	0	0.008334928464221333	0	0	0	0	0	0	0	0	0	0.008918617614269788	0	0	0	0	0	0.06843449181586128	0	0.021993840444483374	0	0.0032535901412995075	0	0	0	0
