Exp_Name	Firmicutes	Actinobacteria	Bacteroidetes	Proteobacteria	Verrucomicrobia	Cyanobacteria	Tenericutes	Spirochaetes	Euryarchaeota	Lentisphaerae
A02	76.05172184398819	2.3935414472027174	17.802648663771656	2.004358644408248	0.07263883413618026	0	0.852210943327288	0.09857198249780537	0	0.2390929282671656
A11	70.52437382687023	6.182836176351591	19.59151683858965	0.6143464227896557	1.252885291249821	0.020643338350581835	0.5948770378744169	0	0.1507122835310832	0
A07	81.6589280389683	4.7916034036581205	13.091834198787518	0.23537354851669254	0.027784155510390512	0	0	0	0	0
A08	79.508873694764	3.0843691521828838	12.682653846059477	0.40099901314411657	1.6677028037831407	0	2.08113636006047	0	0	0
A10	82.93472394059697	9.005114017040059	6.506690935517284	0.15082973602024535	0.01230384155857234	0	0.9306949587784635	0	0	0
A04	81.31261655996396	8.611620173739762	9.063569324057228	0.6637466165907544	0.09915689559710959	0	0	0	0	0
A05	76.94197886190514	2.9074677463789764	19.19434397746199	0.5619309600816159	0.13105964687069196	0	0	0	0	0
A01	86.18024469220319	7.415929192504944	5.307289886458394	0.41796339213552136	0.31392965079352747	0	0.007496697219881834	0	0	0
A06	82.58218449709253	8.24149336880431	7.981949041526813	0.33207427554456037	0.0032098000860981673	0	0.33744482420282934	0.039791559205699434	0	0
A09	70.6953677905226	2.8883371553880077	23.160457261790114	1.105582507193943	0.016659713648474454	0.40383816855178656	1.2775819829256025	0	0	0
A12	62.449753004109375	29.24999583864866	7.191935907861456	0.8830985168499651	0.06453147982580106	0	0.004686643786231362	0	0	0
A13	62.595870668093866	3.3195372362903655	32.708027633564974	0.5727690403010993	0.0610772488071708	0	0.21383570913286865	0	0.05271373647051176	0
A14	83.95573550363805	5.796223275569992	8.77572818003646	0.03523523378730878	0.5327486532914388	0	0.21821621671532931	0	0	0
A03	79.49094718696288	7.933501094182032	11.76733095915876	0.5155761744859167	0.02387433780622202	0	0.022271619261223778	0	0	0
